DEPTH, NO 6507/7-A-22,NO 6507/7-A-28,NO 6507/7-A-29,NO 6507/7-A-40,NO 6507/7-A-52,NO 6507/7-A-9
249.25,66.7487,62.5507,94.02,129.1334,37.382,80.3928
249.75,59.5797,61.8669,97.48,126.4678,44.059,72.9796
252.75,90.3992,52.2549,97.34,124.3265,29.853,69.2733
253.25,86.2093,56.4142,99.18,102.819,47.408,66.3215
256,68.5419,57.2173,96.91,127.0323,52.442,76.0329
257,60.0629,54.721,81.42,148.8401,48.24,74.0279
257.5,68.9837,51.7036,97.25,153.3173,54.938,76.8386
258.5,69.6577,40.7883,95.18,127.1772,60.387,69.561
260,67.5563,65.5751,94.02,128.7298,48.802,68.9888
260.5,71.7366,85.868,99.07,121.5115,54.106,74.2227
261.5,68.2507,67.4942,88.95,112.9978,45.744,69.1664
263.25,93.9176,71.3313,100.58,136.7916,57.184,63.7221
265.25,66.5324,60.7189,96.47,136.1174,58.91,59.0758
265.75,59.3355,62.4562,94.42,88.4551,57.454,71.0602
268.75,88.0657,68.9093,91.86,38.0501,58.016,63.4405
269,85.2963,69.5714,93.45,43.4309,58.765,56.1673
269.25,84.0549,69.3469,93.88,42.4003,61.635,56.8593
270,77.8125,64.608,91.28,30.3438,63.424,61.759
270.5,75.1639,58.909,90.85,40.089,54.709,58.7786
273.5,69.6828,62.922,97.77,42.9001,64.152,65.0413
274.5,65.575,67.8097,103.11,48.714,54.834,66.8875
278.25,142.3777,62.6469,91.86,27.3104,59.555,92.9371
278.75,118.9071,68.8507,86.38,53.6047,67.501,97.4984
281.25,49.6097,56.7643,89.84,259.2555,40.294,52.261
281.75,57.3409,60.9003,93.88,298.8784,61.302,48.4098
282,63.2786,64.0223,95.54,192.5788,90.09,52.631
282.25,70.3457,67.6245,96.91,282.8477,91.754,52.0548
283.5,70.9697,66.4408,96.58,185.2692,76.986,52.489
285,57.7838,54.9719,97.48,63.427,49.093,61.905
286,66.9521,73.1023,96.47,64.2352,48.365,58.851
286.5,64.4237,79.7216,96.91,63.4387,49.155,63.6542
287.5,57.1279,116.8048,91.43,59.6423,36.53,59.1786
291.25,49.2335,52.7065,93.88,65.6368,46.576,65.4453
291.75,62.635,50.5778,95.47,64.2313,55.499,60.075
294.25,84.5402,48.575,92.87,55.8108,66.648,66.8592
294.75,85.7684,53.9013,96.91,62.9135,69.997,63.0614
295.25,76.2242,62.1815,96.04,58.5942,50.133,71.8755
295.75,68.6896,64.4613,102.24,64.4658,54.106,75.3721
296,68.5831,65.1868,94.17,66.2286,42.395,74.881
297.5,78.9775,67.6754,96.04,66.9942,35.49,74.9403
299.5,82.0026,85.8489,95.18,40.9058,49.093,78.6319
300.5,85.357,63.4231,91.18,30.9372,42.853,69.2628
304.75,55.1009,59.6267,97.99,64.5927,68,65.6762
305.25,65.8739,56.2988,97.77,67.7759,56.789,58.6182
305.75,77.5368,53.1174,96.76,84.2715,63.174,67.0744
307.75,69.6531,100.769,95.83,78.1953,62.467,69.8159
308.25,66.7657,99.5975,99.07,66.2517,64.152,72.8678
308.75,81.1653,82.7039,99.94,59.3289,68.749,75.1504
313.5,81.2602,61.5406,100.37,96.0714,63.029,71.0796
316.5,54.7099,62.0166,92.15,54.368,55.229,70.1677
317.75,58.8812,61.0339,87.61,69.3243,68.333,67.7453
318.25,68.1769,65.5929,88.69,58.5178,54.106,68.4501
318.75,73.7606,72.6627,86.52,54.4635,53.274,70.7024
321.25,70.2919,53.5462,91.28,81.105,71.266,61.5978
321.75,62.3004,46.8811,88.69,75.9892,74.178,69.6527
323,57.5054,69.9956,86.09,79.8549,54.667,61.2533
325,52.0435,66.246,86.52,62.5221,46.41,59.4408
326.5,52.1674,72.2087,85.88,43.2006,53.274,63.2341
327.5,65.8942,67.4761,82.2,59.8011,46.576,57.2211
329,72.4966,61.2589,86.96,72.4372,81.707,69.586
329.5,82.7417,64.2335,91.72,68.245,90.173,67.7273
331.25,72.93,98.4785,101.23,67.4234,63.32,75.6327
331.75,73.0355,84.553,99.5,70.665,44.059,71.5658
332.25,81.7505,62.7805,100.8,72.4229,53.274,61.4441
335.75,68.2067,61.3506,94.31,50.5106,48.24,62.9868
337.75,75.347,47.3539,96.47,62.0642,47.408,66.7809
339.5,75.9046,52.7819,96.47,54.6602,68.333,70.5241
340.5,72.905,74.5876,91.72,70.0627,59.68,71.8309
