DEPTH,NO 6507/7-A-14,NO 6507/7-A-28,NO 6507/7-A-38,NO 6507/7-A-49
125.75,107.734,75.019,122.91,53.45211642
126.75,108.0836,73.5438,119.55,57.81416536
127.5,105.834,77.9736,120.74,57.68113022
127.75,104.684,78.3975,120.74,55.61254018
128.5,102.0073,80.3117,121.18,57.90147299
129.25,100.6547,82.6251,123.78,57.49297679
129.5,100.2241,82.9872,123.78,56.73193843
130.25,98.8648,87.614,123.95,55.72255979
130.5,98.4409,88.2949,123.95,56.10978462
131,99.3025,86.6642,122.62,60.01209509
131.25,100.6243,85.0885,123.93,56.45127206
132,106.3071,83.785,124.65,59.99145284
132.25,109.6787,81.8849,122.62,60.22670315
133,115.7092,74.0616,128.99,58.79890842
133.25,116.8768,73.6121,124.65,60.27726118
134,117.3539,81.0249,124.65,54.22887294
134.75,114.6252,84.9559,124.65,53.60538
135,113.4639,89.2667,127.15,50.5955182
135.75,111.0225,79.3289,127.15,54.17688381
136.5,110.0337,51.4501,124.22,51.77165135
136.75,109.7153,55.1508,124.22,52.51987618
137.5,107.9144,73.1335,126.82,54.56389993
137.75,107.298,78.7567,126.82,56.3485483
138.5,105.5718,87.5573,119.87,54.74177261
138.75,106.2433,87.3457,119.87,51.27957467
139.25,108.6914,91.3926,122.62,53.01430872
140.25,112.9443,92.51,117.7,51.66133925
140.5,113.9076,89.8256,117.7,50.94700971
141,115.6717,89.9482,116.83,53.06127589
141.25,116.5666,90.3723,120.09,49.22475064
141.5,117.5078,91.9046,120.09,50.49996981
142,118.8945,90.4317,118.14,58.31023768
142.25,119.8916,90.6479,116.83,55.22610129
143,126.9813,85.3013,121.46,55.55234535
143.25,130.0603,83.4384,118.14,55.38109106
144,138.8643,77.1697,132.9,62.03939134
144.25,141.7374,77.5256,121.46,57.19502588
144.75,147.6373,72.9038,132.9,59.11808797
145,150.2043,74.3093,132.9,65.03166606
145.75,152.4931,74.1935,132.9,62.63866141
146,151.4151,78.5909,125.08,64.34794872
146.75,148.3817,85.4949,125.08,64.62318138
147.5,145.5963,77.9299,121.61,64.71945165
147.75,144.7246,76.5477,121.61,65.38386095
148.5,141.9387,78.2769,128.56,66.77582783
148.75,141.0091,77.8718,128.56,68.62693505
149.5,137.6991,79.5056,119.66,64.27557572
149.75,136.8065,82.4612,119.66,63.38563869
151.25,131.2202,80.8913,123.02,58.63265106
