DEPTH,NO 6507/7-A-14,NO 6507/7-A-28,NO 6507/7-A-38,NO 6507/7-A-46
203.5,131.2602,99.4256,139.34,59.8633
204.25,134.5722,97.2001,129.28,63.0428
204.5,135.1836,96.8792,129.28,63.1348
205,134.4944,96.6288,119.66,62.1276
205.25,133.5896,97.3107,123.35,60.6572
206,131.4476,95.4098,113.9,63.3308
206.25,130.9054,93.5194,119.66,62.8002
207,130.181,97.4657,112.05,63.9172
207.25,131.5379,100.8176,113.9,63.0231
208,138.3181,101.3631,117.85,66.6584
208.25,139.9156,100.7555,112.05,64.6818
208.75,139.7165,100.0534,117.85,66.2569
209,137.0368,101.3282,117.12,66.6828
209.75,135.6754,103.315,117.12,66.7592
210,136.5275,104.5094,116.51,66.7518
210.75,133.759,102.9715,116.51,65.6627
211,130.1019,100.691,117.05,69.6307
211.75,133.7354,99.6838,117.05,69.9362
212.5,123.2991,95.9927,117.48,70.4092
212.75,122.5013,96.8279,117.48,70.5127
213.5,127.7831,97.6041,127.69,69.3604
213.75,130.6033,97.2721,127.69,68.6701
214.5,131.5096,96.6572,124.13,63.9382
214.75,135.4703,97.079,124.13,62.1772
215.5,139.6762,97.0563,120.31,63.8706
216.25,133.4452,94.1479,111.88,72.0576
216.5,131.2389,94.6284,111.88,73.2989
217.25,127.0043,92.2053,113.36,71.9596
217.5,126.0032,89.3549,113.36,71.3194
218,124.4146,82.9183,128.73,77.4735
218.25,123.8063,80.8361,130.21,73.4434
218.5,125.9908,80.4743,130.21,75.7924
219,130.5599,79.9536,108.36,71.2413
219.25,129.101,83.0616,128.73,76.4414
220,111.2643,87.8635,101.05,69.9133
220.25,106.9639,84.4238,108.36,70.1454
221,113.3225,74.0545,108.15,74.2644
221.25,117.3669,75.3019,101.05,70.7943
222,124.0031,85.0841,115.09,79.5604
222.25,126.3319,86.8364,108.15,75.7704
222.75,124.9722,90.0393,115.09,78.599
223,121.545,89.3853,108.8,72.385
223.75,118.0642,79.5511,108.8,73.7691
224,115.519,75.7815,105.11,72.5644
224.75,111.5343,72.2857,105.11,72.4764
225.75,111.8569,70.1642,94.57,71.7722
226.5,108.0163,77.4486,107.6,72.9979
226.75,107.0406,80.1584,107.6,74.0754
227.5,104.7758,79.1399,111.62,75.2083
227.75,104.3526,80.6157,111.62,74.2198
228.5,105.8812,88.2965,101.78,71.3394
228.75,109.3088,86.5753,101.78,71.1402
229.25,113.0815,85.9785,102.26,71.5085
229.5,114.2139,85.0344,102.26,72.0357
230.25,117.4224,78.6101,106.3,73.4192
230.5,118.0122,76.8709,106.3,72.9961
231.25,115.1761,88.1401,109.54,68.3493
231.5,114.082,95.1285,109.54,67.9116
232,111.9136,100.3549,109.01,70.1676
232.25,110.5447,101.2035,109.45,70.01
233,104.3216,89.4913,106.41,76.5234
233.25,105.13,81.7335,109.01,71.7161
234,104.6617,75.8841,107.28,73.0413
234.25,102.8332,76.3291,106.41,76.0974
235.25,103.2767,68.29,107.28,72.8384
239.5,112.556,72.5748,106.16,80.346
239.75,110.4489,71.6808,106.16,80.1571
240.5,105.0139,68.523,115.79,79.8322
240.75,103.4798,67.496,115.79,80.1151
